Symbol,RoePercent,RocePercent,DebtEquityRatio,BookValuePerShare,MarketCapCr
SIGNATURE,2.79,2.6,1.715,132.0,11189.0
SOLARINDS,32.6,38.1,0.3402,694.0,180075.0
SONATSOFTW,28.2,30.7,0.1222,67.9,8525.0
SBIN,15.4,6.13,0.0,674.0,968015.0
SAIL,6.48,7.84,0.3315,141.0,71648.0
SUNPHARMA,16.0,20.5,0.023,348.0,456449.0
SUNDARMFIN,15.0,9.44,0.0,1341.0,50380.0
SWANCORP,-4.5,-0.58,1.8033,240.0,9524.0
SWIGGY,-20.7,2.74,0.0078,75.5,77979.0
SYRMA,14.0,16.8,0.1295,148.0,27754.0
TVSMOTOR,33.6,17.4,2.875,201.0,208563.0
TATACHEM,1.27,3.42,0.3562,832.0,15967.0
TATACOMM,7.3,8.64,0.0961,371.0,47182.0
TATACONSUM,7.35,9.24,0.0867,220.0,103818.0
TATAINVEST,1.44,1.57,0.0123,578.0,32783.0
TMPV,75.7,2.73,3.2313,304.0,117079.0
TATAPOWER,10.2,10.5,1.7783,124.0,119602.0
TATASTEEL,11.7,12.5,0.733,81.8,228449.0
TATATECH,16.3,20.9,0.2391,96.6,33327.0
TECHM,17.5,23.1,0.0938,302.0,155245.0
TECHNOE,11.4,14.8,0.0,357.0,11484.0
TEGA,5.94,8.09,0.2336,454.0,13096.0
TEJASNET,-26.8,-14.6,0.0067,165.0,9085.0
TENNIND,44.4,60.8,1.471,29.7,23254.0
NIACL,4.92,4.29,0.0,0.0,30345.0
RAMCOCEM,0.38,6.13,0.5757,343.0,21244.0
THERMAX,10.6,13.9,0.0951,466.0,47279.0
TIMKEN,14.3,19.0,0.2698,387.0,23574.0
TITAGARH,6.47,10.6,0.9544,182.0,11360.0
TITAN,37.7,20.5,0.6139,177.0,451537.0
TORNTPHARM,27.4,15.2,0.6567,248.0,186247.0
TORNTPOWER,12.5,13.7,0.8304,379.0,62872.0
TARIL,19.1,23.3,0.8249,50.5,8964.0
TRAVELFOOD,35.3,42.4,0.1698,110.0,17213.0
TRENT,27.7,28.3,1.8201,131.0,155917.0
TRIDENT,7.91,9.79,0.3809,9.36,12429.0
TRITURBINE,25.2,34.1,0.0053,45.5,18274.0
TIINDIA,9.95,17.1,0.1424,400.0,55861.0
UCOBANK,8.5,5.76,0.0,24.6,32252.0
UNOMINDA,19.3,19.6,0.2281,118.0,73050.0
UPL,5.64,10.1,0.9958,411.0,48018.0
UTIAMC,10.3,15.6,0.0,350.0,11479.0
ULTRACEMCO,11.1,12.7,0.208,2600.0,340944.0
UNIONBANK,15.5,6.31,0.0,176.0,140038.0
UNITDSPR,21.4,26.4,0.1009,123.0,113176.0
USHAMART,15.1,19.5,0.2024,108.0,14667.0
VTL,7.49,9.04,0.2387,352.0,17452.0
VEDL,38.2,16.1,1.3592,127.0,109100.0
VMM,12.2,14.8,0.7655,15.9,48455.0
VOLTAS,6.1,9.04,0.0662,193.0,40864.0
WAAREEENER,35.4,42.8,0.1556,456.0,77039.0
WELSPUNLIV,4.47,6.25,0.8082,51.3,18149.0
WIPRO,15.5,17.8,0.2265,83.9,179064.0
YESBANK,7.1,5.98,0.0,16.7,71564.0
ZFCVINDIA,14.4,19.1,0.0,323.0,30295.0
ZENTEC,10.7,16.2,0.0475,209.0,17393.0
ZYDUSLIFE,21.2,21.1,0.241,269.0,111720.0
ECLERX,28.4,34.4,0.095,272.0,17077.0
